Author,Title,Number,Area_Topic,Denomination,Language,Type,Hierarchy,Category,Definition,Language2
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,apoplej?a,es,equivalent,terme pral.,n f,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,apoplexy,en,equivalent,terme pral.,,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,cerebral accident,en,equivalent,terme pral.,,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,cerebrovascular accident,en,equivalent,terme pral.,,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,stroke,en,equivalent,terme pral.,,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,stroke syndrome,en,equivalent,terme pral.,,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,4,Semiologia > S?mptomes,,,,,,"Manca absoluta, pèrdua o cessaci? del moviment.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,4,,acinèsia,ca,principal,terme pral.,n f,"Manca absoluta, pèrdua o cessaci? del moviment.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,4,,acinesia,es,equivalent,terme pral.,n f,"Manca absoluta, pèrdua o cessaci? del moviment.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,4,,akinesia,en,equivalent,terme pral.,,"Manca absoluta, pèrdua o cessaci? del moviment.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,5,.Conceptes generals,,,,,,Conjunt de modificacions somàtiques o fisiol?giques no transmissibles hereditàriament que presenta un organisme com a adaptaci? a l'ambient on viu o als canvis d'aquest ambient.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,5,,acomodaci?,ca,principal,terme pral.,n f,Conjunt de modificacions somàtiques o fisiol?giques no transmissibles hereditàriament que presenta un organisme com a adaptaci? a l'ambient on viu o als canvis d'aquest ambient.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,5,,acomodaci?n,es,equivalent,terme pral.,n f,Conjunt de modificacions somàtiques o fisiol?giques no transmissibles hereditàriament que presenta un organisme com a adaptaci? a l'ambient on viu o als canvis d'aquest ambient.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,5,,accommodation,en,equivalent,terme pral.,,Conjunt de modificacions somàtiques o fisiol?giques no transmissibles hereditàriament que presenta un organisme com a adaptaci? a l'ambient on viu o als canvis d'aquest ambient.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,6,Fisiologia,,,,,,Elevaci? del llindar d'excitabilitat neuronal.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,6,,acomodaci? elèctrica,ca,principal,terme pral.,n f,Elevaci? del llindar d'excitabilitat neuronal.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,6,,acomodaci?n eléctrica,es,equivalent,terme pral.,n f,Elevaci? del llindar d'excitabilitat neuronal.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,6,,electrical adaptation,en,equivalent,terme pral.,,Elevaci? del llindar d'excitabilitat neuronal.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,7,Patologia,,,,,,S?ndrome hereditària caracteritzada per l'acrocefàlia i la sindact?lia.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,7,,acrocefalosindact?lia,ca,principal,terme pral.,n f,S?ndrome hereditària caracteritzada per l'acrocefàlia i la sindact?lia.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,7,,acrocefalosindactilia,es,equivalent,terme pral.,n f,S?ndrome hereditària caracteritzada per l'acrocefàlia i la sindact?lia.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,7,,acrocephalosyndactylia,en,equivalent,terme pral.,,S?ndrome hereditària caracteritzada per l'acrocefàlia i la sindact?lia.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,Patologia,,,,,,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,acrocefalosindact?lia d'Apert,ca,principal,terme pral.,n f,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,acrocefalosindact?lia tipus I,ca,remissio,sin. compl.,n f,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,malaltia d'Apert,ca,remissio,sin. compl.,n f,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,s?ndrome d'Apert,ca,remissio,sin. compl.,n f,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,acrocefalosindactilia de Apert,es,equivalent,terme pral.,n f,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,acrocefalosindactilia tipo I,es,equivalent,terme pral.,n f,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,s?ndrome de Apert,es,equivalent,terme pral.,n m,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,8,,Apert syndrome,en,equivalent,terme pral.,,"S?ndrome hereditària autos?mica dominant, consistent en una craniosinostosi greu predominant de la sutura coronal, braquicefàlia, fàcies aplatada, solc horitzontal supraorbitari, front i ulls prominents, hipertelorisme, estrabisme, fenedures palpebrals inclinades cap avall, hipoplàsia maxil·lar, sindact?lia cutània o ?ssia de les mans i els peus, simfalàngia i altres malformacions esquelètiques.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,9,Patologia,,,,,,"Alteraci? neurovegetativa de la regulaci? de la microcirculaci? cutània, caracteritzada per cianosi, disminuci? de la temperatura i hiperhidrosi de la pell de les mans i, de vegades, dels peus.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,9,,acrocianosi,ca,principal,terme pral.,n f,"Alteraci? neurovegetativa de la regulaci? de la microcirculaci? cutània, caracteritzada per cianosi, disminuci? de la temperatura i hiperhidrosi de la pell de les mans i, de vegades, dels peus.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,9,,acrocianosi congènita,ca,remissio,sin. compl.,n f,"Alteraci? neurovegetativa de la regulaci? de la microcirculaci? cutània, caracteritzada per cianosi, disminuci? de la temperatura i hiperhidrosi de la pell de les mans i, de vegades, dels peus.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,9,,acrocianosis,es,equivalent,terme pral.,n f,"Alteraci? neurovegetativa de la regulaci? de la microcirculaci? cutània, caracteritzada per cianosi, disminuci? de la temperatura i hiperhidrosi de la pell de les mans i, de vegades, dels peus.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,9,,acrocianosis congénita,es,equivalent,terme pral.,n f,"Alteraci? neurovegetativa de la regulaci? de la microcirculaci? cutània, caracteritzada per cianosi, disminuci? de la temperatura i hiperhidrosi de la pell de les mans i, de vegades, dels peus.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,9,,acrocyanosis,en,equivalent,terme pral.,,"Alteraci? neurovegetativa de la regulaci? de la microcirculaci? cutània, caracteritzada per cianosi, disminuci? de la temperatura i hiperhidrosi de la pell de les mans i, de vegades, dels peus.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,10,Patologia,,,,,,"Malaltia caracteritzada per una grandària exagerada de diverses parts del cos a causa d'una hipersecreci? d'hormona del creixement, gairebé sempre produïda per un tumor hipofisial.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,10,,acromegàlia,ca,principal,terme pral.,n f,"Malaltia caracteritzada per una grandària exagerada de diverses parts del cos a causa d'una hipersecreci? d'hormona del creixement, gairebé sempre produïda per un tumor hipofisial.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,10,,malaltia de Marie,ca,remissio,sin. compl.,n f,"Malaltia caracteritzada per una grandària exagerada de diverses parts del cos a causa d'una hipersecreci? d'hormona del creixement, gairebé sempre produïda per un tumor hipofisial.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,10,,acromegalia,es,equivalent,terme pral.,n f,"Malaltia caracteritzada per una grandària exagerada de diverses parts del cos a causa d'una hipersecreci? d'hormona del creixement, gairebé sempre produïda per un tumor hipofisial.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,10,,enfermedad de Marie,es,equivalent,terme pral.,n f,"Malaltia caracteritzada per una grandària exagerada de diverses parts del cos a causa d'una hipersecreci? d'hormona del creixement, gairebé sempre produïda per un tumor hipofisial.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,10,,acromegaly,en,equivalent,terme pral.,,"Malaltia caracteritzada per una grandària exagerada de diverses parts del cos a causa d'una hipersecreci? d'hormona del creixement, gairebé sempre produïda per un tumor hipofisial.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,10,,Marie's disease,en,equivalent,terme pral.,,"Malaltia caracteritzada per una grandària exagerada de diverses parts del cos a causa d'una hipersecreci? d'hormona del creixement, gairebé sempre produïda per un tumor hipofisial.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,11,Patologia,,,,,,"Quadre cl?nic caracteritzat per atacs recidivants de pessigolleig, rigidesa i encarcarament de dits, mans i avantbraços, eventualment acompanyats de dolor, discreta cianosi o pal·lidesa de la pell.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,11,,acroparestèsia,ca,principal,terme pral.,n f,"Quadre cl?nic caracteritzat per atacs recidivants de pessigolleig, rigidesa i encarcarament de dits, mans i avantbraços, eventualment acompanyats de dolor, discreta cianosi o pal·lidesa de la pell.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,11,,acroparestesia,es,equivalent,terme pral.,n f,"Quadre cl?nic caracteritzat per atacs recidivants de pessigolleig, rigidesa i encarcarament de dits, mans i avantbraços, eventualment acompanyats de dolor, discreta cianosi o pal·lidesa de la pell.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,11,,acroparesthesia,en,equivalent,terme pral.,,"Quadre cl?nic caracteritzat per atacs recidivants de pessigolleig, rigidesa i encarcarament de dits, mans i avantbraços, eventualment acompanyats de dolor, discreta cianosi o pal·lidesa de la pell.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,12,Semiologia > S?mptomes,,,,,,Parestèsia de les extremitats causada per una compressi? mecànica dels nervis o per una polineuritis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,12,,acroparestèsia,ca,principal,terme pral.,n f,Parestèsia de les extremitats causada per una compressi? mecànica dels nervis o per una polineuritis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,12,,acroparestesia,es,equivalent,terme pral.,n f,Parestèsia de les extremitats causada per una compressi? mecànica dels nervis o per una polineuritis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,12,,acroparesthesia,en,equivalent,terme pral.,,Parestèsia de les extremitats causada per una compressi? mecànica dels nervis o per una polineuritis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,13,Semiologia > Signes,,,,,,"Esclerodèrmia que s'inicia als dits o a les regions acrals, precedida o acompanyada del fenomen de Raynaud, amb mobilitat de les mans i dels peus molt restringida, contractures d'urpa, dits de madona, necrosi dolorosa de la polpa dels dits de les mans i de la pell que recobreix les articulacions interfalàngiques, estriacions unguials i, fins i tot, mutilaci? distal dels dits.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,13,,acrosclerosi,ca,principal,terme pral.,n f,"Esclerodèrmia que s'inicia als dits o a les regions acrals, precedida o acompanyada del fenomen de Raynaud, amb mobilitat de les mans i dels peus molt restringida, contractures d'urpa, dits de madona, necrosi dolorosa de la polpa dels dits de les mans i de la pell que recobreix les articulacions interfalàngiques, estriacions unguials i, fins i tot, mutilaci? distal dels dits.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,13,,acrosclerodèrmia,ca,remissio,sin. compl.,n f,"Esclerodèrmia que s'inicia als dits o a les regions acrals, precedida o acompanyada del fenomen de Raynaud, amb mobilitat de les mans i dels peus molt restringida, contractures d'urpa, dits de madona, necrosi dolorosa de la polpa dels dits de les mans i de la pell que recobreix les articulacions interfalàngiques, estriacions unguials i, fins i tot, mutilaci? distal dels dits.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,13,,acrosclerosi de Hutchinson,ca,remissio,sin. compl.,n f,"Esclerodèrmia que s'inicia als dits o a les regions acrals, precedida o acompanyada del fenomen de Raynaud, amb mobilitat de les mans i dels peus molt restringida, contractures d'urpa, dits de madona, necrosi dolorosa de la polpa dels dits de les mans i de la pell que recobreix les articulacions interfalàngiques, estriacions unguials i, fins i tot, mutilaci? distal dels dits.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,13,,esclerodact?lia,ca,remissio,sin. compl.,n f,"Esclerodèrmia que s'inicia als dits o a les regions acrals, precedida o acompanyada del fenomen de Raynaud, amb mobilitat de les mans i dels peus molt restringida, contractures d'urpa, dits de madona, necrosi dolorosa de la polpa dels dits de les mans i de la pell que recobreix les articulacions interfalàngiques, estriacions unguials i, fins i tot, mutilaci? distal dels dits.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,13,,acrosclerosis,es,equivalent,terme pral.,n f,"Esclerodèrmia que s'inicia als dits o a les regions acrals, precedida o acompanyada del fenomen de Raynaud, amb mobilitat de les mans i dels peus molt restringida, contractures d'urpa, dits de madona, necrosi dolorosa de la polpa dels dits de les mans i de la pell que recobreix les articulacions interfalàngiques, estriacions unguials i, fins i tot, mutilaci? distal dels dits.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,13,,acrosclerosis,en,equivalent,terme pral.,,"Esclerodèrmia que s'inicia als dits o a les regions acrals, precedida o acompanyada del fenomen de Raynaud, amb mobilitat de les mans i dels peus molt restringida, contractures d'urpa, dits de madona, necrosi dolorosa de la polpa dels dits de les mans i de la pell que recobreix les articulacions interfalàngiques, estriacions unguials i, fins i tot, mutilaci? distal dels dits.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,14,.Conceptes generals,,,,,,Que es produeix amb l'esforç i l'acci? propis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,14,,actiu -iva,ca,principal,terme pral.,adj,Que es produeix amb l'esforç i l'acci? propis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,14,,activo -va,es,equivalent,terme pral.,adj,Que es produeix amb l'esforç i l'acci? propis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,14,,active,en,equivalent,terme pral.,,Que es produeix amb l'esforç i l'acci? propis.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,15,.Conceptes generals,,,,,,Excitaci? d'una molècula que incrementa la seva energia fins al nivell en què esdevé qu?micament reactiva o emet radiaci? electromagnètica.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,15,,activaci?,ca,principal,terme pral.,n f,Excitaci? d'una molècula que incrementa la seva energia fins al nivell en què esdevé qu?micament reactiva o emet radiaci? electromagnètica.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,15,,activaci?n,es,equivalent,terme pral.,n f,Excitaci? d'una molècula que incrementa la seva energia fins al nivell en què esdevé qu?micament reactiva o emet radiaci? electromagnètica.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,15,,activation,en,equivalent,terme pral.,,Excitaci? d'una molècula que incrementa la seva energia fins al nivell en què esdevé qu?micament reactiva o emet radiaci? electromagnètica.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,16,Terapèutica i prevenci? > Tècniques,,,,,,Pràctica terapèutica de la medicina tradicional xinesa consistent en la inserci? d'agulles fines en determinats punts del cos humà.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,16,,acupuntura,ca,principal,terme pral.,n f,Pràctica terapèutica de la medicina tradicional xinesa consistent en la inserci? d'agulles fines en determinats punts del cos humà.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,16,,acupuntura,es,equivalent,terme pral.,n f,Pràctica terapèutica de la medicina tradicional xinesa consistent en la inserci? d'agulles fines en determinats punts del cos humà.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,16,,acupuncture,en,equivalent,terme pral.,,Pràctica terapèutica de la medicina tradicional xinesa consistent en la inserci? d'agulles fines en determinats punts del cos humà.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,17,Posicions corporals,,,,,,Moviment pel qual un membre o un ?rgan qualsevol s'acosta al pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,17,,adducci?,ca,principal,terme pral.,n f,Moviment pel qual un membre o un ?rgan qualsevol s'acosta al pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,17,,aducci?n,es,equivalent,terme pral.,n f,Moviment pel qual un membre o un ?rgan qualsevol s'acosta al pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,17,,adduction,en,equivalent,terme pral.,,Moviment pel qual un membre o un ?rgan qualsevol s'acosta al pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,18,.Conceptes generals,,,,,,"Banda fibrosa que s'estén entre superf?cies seroses, sovint separades, la qual apareix com a conseqüència d'una inflamaci? o una intervenci? quir?rgica.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,18,,adherència,ca,principal,terme pral.,n f,"Banda fibrosa que s'estén entre superf?cies seroses, sovint separades, la qual apareix com a conseqüència d'una inflamaci? o una intervenci? quir?rgica.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,18,,adherencia,es,equivalent,terme pral.,n f,"Banda fibrosa que s'estén entre superf?cies seroses, sovint separades, la qual apareix com a conseqüència d'una inflamaci? o una intervenci? quir?rgica.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,18,,brida,es,equivalent,terme pral.,n f,"Banda fibrosa que s'estén entre superf?cies seroses, sovint separades, la qual apareix com a conseqüència d'una inflamaci? o una intervenci? quir?rgica.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,18,,adhesion,en,equivalent,terme pral.,,"Banda fibrosa que s'estén entre superf?cies seroses, sovint separades, la qual apareix com a conseqüència d'una inflamaci? o una intervenci? quir?rgica.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,19,.Conceptes generals,,,,,,Qualitat d'estar aplicat a la superf?cie d'una cosa i agafat a ella.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,19,,adhesivitat,ca,principal,terme pral.,n f,Qualitat d'estar aplicat a la superf?cie d'una cosa i agafat a ella.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,19,,adhesividad,es,equivalent,terme pral.,n f,Qualitat d'estar aplicat a la superf?cie d'una cosa i agafat a ella.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,19,,adhesiveness,en,equivalent,terme pral.,,Qualitat d'estar aplicat a la superf?cie d'una cosa i agafat a ella.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,20,Fisiologia,,,,,,"Propietat f?sica de les plaquetes per la qual s'adhereixen a diversos materials, tant in vivo com in vitro.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,20,,adhesivitat plaquetària,ca,principal,terme pral.,n f,"Propietat f?sica de les plaquetes per la qual s'adhereixen a diversos materials, tant in vivo com in vitro.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,20,,adhesividad plaquetaria,es,equivalent,terme pral.,n f,"Propietat f?sica de les plaquetes per la qual s'adhereixen a diversos materials, tant in vivo com in vitro.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,20,,platelet adhesiveness,en,equivalent,terme pral.,,"Propietat f?sica de les plaquetes per la qual s'adhereixen a diversos materials, tant in vivo com in vitro.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,21,.Conceptes generals,,,,,,Suspensi? col·loïdal de part?cules l?quides o s?lides en un gas.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,21,,aerosol,ca,principal,terme pral.,n m,Suspensi? col·loïdal de part?cules l?quides o s?lides en un gas.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,21,,aerosol,es,equivalent,terme pral.,n m,Suspensi? col·loïdal de part?cules l?quides o s?lides en un gas.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,21,,aerosol,en,equivalent,terme pral.,,Suspensi? col·loïdal de part?cules l?quides o s?lides en un gas.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,22,Semiologia > S?mptomes,,,,,,"Trastorn complex del llenguatge caracteritzat per l'alteraci? de la facultat normal d'expressar les idees mitjançant s?mbols log?stics o de comprendre el seu valor semàntic, malgrat la persistència d'un grau suficient d'intel·ligència i la integritat de les vies motores o sensorials i dels ?rgans de la fonaci? o de l'audici?.",ca
